
2024/09/19 (02:42:05) | ===> btop++ v.1.3.2
2024/09/19 (02:42:05) | INFO: Logger set to INFO
2024/09/19 (02:42:05) | INFO: Logger set to DEBUG
2024/09/19 (02:42:07) | INFO: Logger set to INFO
2024/09/19 (02:42:08) | INFO: Logger set to DEBUG

2024/10/06 (03:17:12) | ===> btop++ v.1.4.0
2024/10/06 (03:17:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/06 (03:17:12) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/11/14 (21:23:23) | ===> btop++ v.1.4.0
2024/11/14 (21:23:23) | ERROR: Stall in Runner thread, restarting!
2024/11/14 (21:23:38) | ERROR: Stall in Runner thread, restarting!
2024/11/14 (21:23:44) | ERROR: Stall in Runner thread, restarting!
2024/11/14 (21:23:53) | ERROR: Stall in Runner thread, restarting!
2024/11/14 (21:24:08) | ERROR: Stall in Runner thread, restarting!
2024/11/14 (21:24:18) | ERROR: Stall in Runner thread, restarting!
2024/11/14 (21:24:54) | ERROR: Stall in Runner thread, restarting!
2024/11/14 (21:25:00) | ERROR: Stall in Runner thread, restarting!
2024/11/14 (21:25:11) | ERROR: Stall in Runner thread, restarting!
2024/11/14 (21:25:46) | ERROR: Stall in Runner thread, restarting!
2024/11/14 (21:26:20) | ERROR: Stall in Runner thread, restarting!
2024/11/14 (21:26:29) | ERROR: Stall in Runner thread, restarting!
2024/11/14 (21:26:41) | ERROR: Stall in Runner thread, restarting!
2024/11/14 (21:28:27) | ERROR: Stall in Runner thread, restarting!
2024/11/14 (21:28:36) | ERROR: Stall in Runner thread, restarting!

2024/11/15 (00:56:16) | ===> btop++ v.1.4.0
2024/11/15 (00:56:17) | ERROR: Stall in Runner thread, restarting!
2024/11/15 (00:57:33) | ERROR: Stall in Runner thread, restarting!
2024/11/15 (00:58:50) | ERROR: Stall in Runner thread, restarting!
2024/11/15 (00:59:39) | ERROR: Stall in Runner thread, restarting!
2024/11/15 (01:00:46) | ERROR: Stall in Runner thread, restarting!
2024/11/15 (01:01:40) | ERROR: Stall in Runner thread, restarting!
2024/11/15 (01:02:22) | ERROR: Stall in Runner thread, restarting!
2024/11/15 (01:03:22) | ERROR: Stall in Runner thread, restarting!
